url_length,hostname_length,dot_count,slash_count,has_ip,has_special_chars,subdomain_count,has_https,has_sensitive_words,directory_count,query_param_count,is_shortened,Label
23,16,2,2,0,0,1,0,0,0,0,0,0
30,23,2,2,0,0,1,0,0,0,0,0,0
31,0,2,2,0,0,-1,0,0,2,0,0,0
742,0,14,14,0,1,-1,0,0,2,10,0,1
19,12,2,2,0,0,1,0,0,0,0,0,0
21,14,2,2,0,0,1,0,0,0,0,0,0
32,0,3,1,0,0,-1,0,0,1,0,0,1
31,0,2,2,0,1,-1,0,0,3,0,0,1
31,0,1,1,0,0,-1,0,0,2,1,0,0
43,0,1,5,0,1,-1,0,0,6,0,0,0
27,0,2,1,0,0,-1,0,0,1,0,0,0
48,0,1,3,0,1,-1,0,0,3,0,0,0
24,17,3,2,0,0,2,0,0,0,0,0,0
25,18,2,2,0,0,1,0,0,0,0,0,0
31,0,2,2,0,0,-1,0,0,3,0,0,1
125,0,1,8,0,1,-1,0,0,9,0,0,0
98,0,1,3,0,1,-1,0,0,3,0,0,0
20,0,1,1,0,0,-1,0,0,1,0,0,0
38,0,1,2,0,1,-1,0,0,3,0,0,0
29,22,2,2,0,0,1,0,0,0,0,0,0
30,0,2,2,0,0,-1,0,0,3,0,0,1
45,0,1,3,0,0,-1,0,0,4,0,0,0
62,0,2,5,0,0,-1,0,0,6,0,0,1
33,0,2,1,0,1,-1,0,0,2,0,0,0
18,0,1,1,0,0,-1,0,0,1,0,0,0
24,17,2,2,0,0,1,0,0,0,0,0,0
91,0,2,3,0,1,-1,0,0,4,0,0,0
19,0,2,1,0,0,-1,0,0,2,0,0,0
31,24,2,2,0,1,1,0,0,0,0,0,0
62,0,1,3,0,1,-1,0,0,4,0,0,0
44,0,2,3,0,1,-1,0,0,4,0,0,0
23,16,2,2,0,0,1,0,0,0,0,0,0
32,0,2,2,0,1,-1,0,0,3,0,0,0
80,0,2,2,0,1,-1,0,0,3,1,0,0
50,0,2,2,0,0,-1,0,0,3,2,0,0
23,0,2,3,0,0,-1,0,0,3,0,0,0
107,0,2,3,0,1,-1,0,0,4,0,0,0
20,13,2,2,0,0,1,0,0,0,0,0,0
23,16,2,2,0,0,1,0,0,0,0,0,0
23,0,2,2,0,0,-1,0,0,3,0,0,1
77,0,1,2,0,1,-1,0,0,3,0,0,0
75,0,4,1,0,1,-1,0,0,2,0,0,0
24,17,2,2,0,0,1,0,0,0,0,0,0
54,0,2,1,0,1,-1,0,0,2,0,0,0
61,0,3,4,0,0,-1,0,0,5,0,0,1
25,18,2,2,0,0,1,0,0,0,0,0,0
46,0,1,1,0,0,-1,0,0,2,1,0,1
30,0,1,3,0,1,-1,0,0,3,0,0,0
22,15,2,2,0,0,1,0,0,0,0,0,0
39,0,2,2,0,0,-1,0,1,3,0,0,1
63,0,2,6,0,1,-1,0,0,7,0,0,0
31,0,1,2,0,0,-1,0,0,3,0,0,0
37,0,2,1,0,1,-1,0,0,2,0,0,0
22,15,2,2,0,0,1,0,0,0,0,0,0
40,0,2,4,0,1,-1,0,0,5,0,0,0
35,0,3,3,0,0,-1,0,0,3,0,0,0
21,14,2,2,0,0,1,0,0,0,0,0,0
19,12,2,2,0,0,1,0,0,0,0,0,0
33,26,2,2,0,0,1,0,0,0,0,0,0
21,14,2,2,0,0,1,0,0,0,0,0,0
20,13,2,2,0,0,1,0,0,0,0,0,0
43,0,2,2,0,0,-1,0,0,3,1,0,0
53,0,2,4,0,0,-1,0,0,5,0,0,1
46,0,2,2,0,1,-1,0,0,3,1,0,0
28,21,2,2,0,0,1,0,0,0,0,0,0
39,0,2,2,0,1,-1,0,0,3,0,0,0
18,0,1,1,0,0,-1,0,0,1,0,0,0
30,23,2,2,0,0,1,0,0,0,0,0,0
23,16,3,2,0,0,2,0,0,0,0,0,0
23,0,2,2,0,0,-1,0,0,2,0,0,0
19,12,2,2,0,0,1,0,0,0,0,0,0
27,20,2,2,0,0,1,0,0,0,0,1,0
49,0,5,2,0,1,-1,0,1,3,0,0,1
53,0,1,5,0,1,-1,0,0,5,0,0,1
16,9,2,2,0,0,1,0,0,0,0,0,0
40,0,4,2,0,0,-1,0,0,3,0,0,1
60,0,3,3,0,1,-1,0,0,4,0,0,0
28,0,1,4,0,0,-1,0,0,4,0,0,1
16,0,1,1,0,0,-1,0,0,1,0,0,0
23,16,3,2,0,0,2,0,0,0,0,0,0
56,0,2,2,0,0,-1,0,0,3,2,0,0
12,0,1,1,0,0,-1,0,0,1,0,0,0
65,0,3,3,0,1,-1,0,0,4,0,0,0
